id,brand,model,image,launchDate,popularity,sales,priceDrop,price_jd,price_pdd,specs,tags,officialUrl,lastVerified
logitech-mx-keys-s,罗技,MX Keys S,,2023-01,88,80,True,699,599,"{""layout"": ""全尺寸"", ""switch"": ""薄膜剪刀脚"", ""connection"": ""蓝牙+USB接收器"", ""battery"": ""续航数月"", ""weight"": ""810g""}",办公;静音;多设备,,2026-08-05
varmilo-va87,阿米洛,VA87 静音版,,2023-01,72,60,False,599,549,"{""layout"": ""87键"", ""switch"": ""静音红轴(机械)"", ""connection"": ""有线/蓝牙"", ""battery"": ""有线无"", ""weight"": ""1.1kg""}",静音;机械;做工,,2026-08-05
ajazz-ak992,黑爵,AK992 三模,,2024-01,68,64,False,299,269,"{""layout"": ""98键"", ""switch"": ""机械(热插拔)"", ""connection"": ""三模(有线/蓝牙/2.4G)"", ""battery"": ""4000mAh"", ""weight"": ""1.0kg""}",三模;热插拔;性价比,,2026-08-05
flesports-fl980,腹灵,FL980 三模,,2023-06,64,56,False,399,359,"{""layout"": ""98键"", ""switch"": ""机械(热插拔)"", ""connection"": ""三模"", ""battery"": ""4000mAh"", ""weight"": ""1.1kg""}",三模;热插拔,,2026-08-05
ducky-k320w,杜伽,K320W 三模,,2023-03,62,52,False,399,369,"{""layout"": ""87键"", ""switch"": ""机械(热插拔)"", ""connection"": ""三模"", ""battery"": ""续航持久"", ""weight"": ""0.9kg""}",三模;复古;做工,,2026-08-05
logitech-g913-tkl,罗技,G913 TKL,,2019-08,74,56,True,1299,1099,"{""layout"": ""87键TKL"", ""switch"": ""GL矮轴"", ""connection"": ""无线2.4G/蓝牙"", ""battery"": ""40小时"", ""keycap"": ""ABS"", ""hotswap"": ""不支持"", ""backlight"": ""RGB""}",超薄;无线;电竞,,2026-08-05
logitech-mx-mechanical,罗技,MX Mechanical,,2022-05,70,58,False,999,869,"{""layout"": ""108键全尺寸"", ""switch"": ""矮轴茶轴"", ""connection"": ""无线2.4G/蓝牙"", ""battery"": ""15天"", ""keycap"": ""ABS"", ""hotswap"": ""不支持"", ""backlight"": ""白色背光""}",办公;静音;多设备,,2026-08-05
logitech-g512,罗技,G512,,2018-06,58,62,True,549,449,"{""layout"": ""108键全尺寸"", ""switch"": ""GX青轴"", ""connection"": ""有线"", ""battery"": ""无"", ""keycap"": ""ABS"", ""hotswap"": ""不支持"", ""backlight"": ""RGB""}",有线;电竞;入门,,2026-08-05
varmilo-mier108,阿米洛,米色系列 108,,2023-05,66,48,False,799,729,"{""layout"": ""108键全尺寸"", ""switch"": ""樱桃红轴"", ""connection"": ""有线"", ""battery"": ""无"", ""keycap"": ""PBT"", ""hotswap"": ""不支持"", ""backlight"": ""无背光""}",高颜值;静电容手感;PBT,,2026-08-05
varmilo-va108m,阿米洛,VA108M,,2021-03,60,44,True,699,599,"{""layout"": ""108键全尺寸"", ""switch"": ""樱桃茶轴"", ""connection"": ""有线"", ""battery"": ""无"", ""keycap"": ""PBT"", ""hotswap"": ""不支持"", ""backlight"": ""白光""}",经典;PBT;办公,,2026-08-05
ajazz-ak820pro,黑爵,AK820 Pro,,2023-10,82,88,False,329,289,"{""layout"": ""75键紧凑"", ""switch"": ""客制化线性轴"", ""connection"": ""三模"", ""battery"": ""3000mAh"", ""keycap"": ""PBT"", ""hotswap"": ""支持"", ""backlight"": ""RGB""}",客制化;TFT屏;高性价比,,2026-08-05
ajazz-ak680,黑爵,AK680,,2024-03,72,84,False,199,169,"{""layout"": ""68键紧凑"", ""switch"": ""线性轴"", ""connection"": ""三模"", ""battery"": ""3000mAh"", ""keycap"": ""PBT"", ""hotswap"": ""支持"", ""backlight"": ""RGB""}",小巧;百元档;热插拔,,2026-08-05
flesports-mk870,腹灵,MK870,,2022-08,68,62,True,429,379,"{""layout"": ""87键TKL"", ""switch"": ""凯华BOX轴"", ""connection"": ""三模"", ""battery"": ""4000mAh"", ""keycap"": ""PBT"", ""hotswap"": ""支持"", ""backlight"": ""RGB""}",Gasket;手感;热插拔,,2026-08-05
