id,brand,model,image,launchDate,popularity,sales,priceDrop,price_jd,price_pdd,specs,tags,officialUrl,lastVerified
xiaomi-tv-spro-65,小米,电视 S Pro 65 Mini LED,,2024-01,85,82,True,4299,3799,"{""size"": ""65英寸"", ""resolution"": ""4K"", ""panel"": ""Mini LED"", ""refreshRate"": ""144Hz"", ""hdr"": ""杜比视界"", ""brightness"": ""1200nits"", ""ports"": ""HDMI 2.1 x2""}",MiniLED;144Hz;性价比,,2026-08-05
hisense-u8n-65,海信,U8N 65 Mini LED,,2024-03,80,70,False,6999,6499,"{""size"": ""65英寸"", ""resolution"": ""4K"", ""panel"": ""Mini LED"", ""refreshRate"": ""144Hz"", ""hdr"": ""杜比视界"", ""brightness"": ""2000nits"", ""ports"": ""HDMI 2.1 x2""}",MiniLED;高亮度;信芯,,2026-08-05
tcl-q10k-65,TCL,Q10K 65 Mini LED,,2024-04,78,74,False,4499,4199,"{""size"": ""65英寸"", ""resolution"": ""4K"", ""panel"": ""Mini LED"", ""refreshRate"": ""144Hz"", ""hdr"": ""杜比视界"", ""brightness"": ""1600nits"", ""ports"": ""HDMI 2.1 x2""}",MiniLED;高分区;性价比,,2026-08-05
sony-x90l-65,索尼,XR-65X90L,,2023-05,82,68,True,6999,5999,"{""size"": ""65英寸"", ""resolution"": ""4K"", ""panel"": ""全阵列LED"", ""refreshRate"": ""120Hz"", ""hdr"": ""杜比视界"", ""brightness"": ""普通"", ""ports"": ""HDMI 2.1 x2""}",XR芯片;画质调校,,2026-08-05
ffalcon-h7-65,雷鸟,鹤7 65 Mini LED,,2024-03,72,66,False,3299,3099,"{""size"": ""65英寸"", ""resolution"": ""4K"", ""panel"": ""Mini LED"", ""refreshRate"": ""144Hz"", ""hdr"": ""杜比视界"", ""brightness"": ""1300nits"", ""ports"": ""HDMI 2.1 x2""}",MiniLED;高性价比,,2026-08-05
huawei-vision-v5pro-65,华为,智慧屏 V5 Pro 65,,2023-09,66,50,False,8999,8499,"{""size"": ""65英寸"", ""resolution"": ""4K"", ""panel"": ""LCD"", ""refreshRate"": ""120Hz"", ""hdr"": ""HDR10"", ""brightness"": ""普通"", ""ports"": ""HDMI 2.1""}",鸿鹄;灵犀遥控;智慧屏,,2026-08-05
xiaomi-tv-s-75,小米,电视S 75,,2024-03,84,86,False,3999,3699,"{""size"": ""75英寸"", ""resolution"": ""4K"", ""panel"": ""VA"", ""refreshRate"": ""120Hz"", ""hdr"": ""HDR10+"", ""brightness"": ""500nit"", ""sound"": ""30W"", ""system"": ""澎湃OS""}",大屏;性价比;120Hz,,2026-08-05
xiaomi-tv-es-55,小米,电视ES 55,,2023-04,62,78,True,1899,1699,"{""size"": ""55英寸"", ""resolution"": ""4K"", ""panel"": ""VA"", ""refreshRate"": ""60Hz"", ""hdr"": ""HDR10"", ""brightness"": ""300nit"", ""sound"": ""20W"", ""system"": ""MIUI TV""}",入门;小屏,,2026-08-05
redmi-tv-x-65,小米,Redmi X 2024 65,,2024-01,70,84,False,2499,2299,"{""size"": ""65英寸"", ""resolution"": ""4K"", ""panel"": ""VA"", ""refreshRate"": ""120Hz"", ""hdr"": ""HDR10+"", ""brightness"": ""400nit"", ""sound"": ""24W"", ""system"": ""澎湃OS""}",性价比;120Hz,,2026-08-05
hisense-e5n-65,海信,E5N 65,,2024-03,76,88,False,3299,2999,"{""size"": ""65英寸"", ""resolution"": ""4K"", ""panel"": ""ULED"", ""refreshRate"": ""144Hz"", ""hdr"": ""HDR10+"", ""brightness"": ""800nit"", ""sound"": ""30W"", ""system"": ""VIDAA""}",ULED;高刷;性价比,,2026-08-05
