id,brand,model,image,launchDate,popularity,sales,priceDrop,price_jd,price_pdd,specs,tags,officialUrl,lastVerified
sony-a7m4,索尼,Alpha 7 IV (A7M4),,2021-10,95,80,False,16999,15999,"{""sensor"": ""全画幅"", ""resolution"": ""3300万"", ""video"": ""4K60"", ""mount"": ""E卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""658g"", ""screen"": ""3英寸翻转屏""}",全画幅;防抖;视频,,2026-08-05
canon-r6ii,佳能,EOS R6 Mark II,,2022-11,90,76,False,15999,14999,"{""sensor"": ""全画幅"", ""resolution"": ""2420万"", ""video"": ""4K60"", ""mount"": ""RF卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""670g"", ""screen"": ""3英寸翻转屏""}",全画幅;防抖;连拍,,2026-08-05
nikon-z6iii,尼康,Z6 III,,2024-06,84,64,False,13999,13599,"{""sensor"": ""全画幅"", ""resolution"": ""2450万"", ""video"": ""6K60"", ""mount"": ""Z卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""760g"", ""screen"": ""3.2英寸翻转屏""}",全画幅;6K视频;防抖,,2026-08-05
fujifilm-xt5,富士,X-T5,,2022-11,86,70,False,11990,10990,"{""sensor"": ""APS-C"", ""resolution"": ""4020万"", ""video"": ""6.2K30"", ""mount"": ""X卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""557g"", ""screen"": ""三向翻折屏""}",复古;高像素;胶片模拟,,2026-08-05
sony-zve10ii,索尼,ZV-E10 II,,2024-07,78,72,False,5999,5699,"{""sensor"": ""APS-C"", ""resolution"": ""2600万"", ""video"": ""4K60"", ""mount"": ""E卡口"", ""ibis"": ""无防抖"", ""weight"": ""377g"", ""screen"": ""翻折屏""}",Vlog;轻量;4K,,2026-08-05
canon-r50,佳能,EOS R50,,2023-02,70,66,False,4599,4299,"{""sensor"": ""APS-C"", ""resolution"": ""2420万"", ""video"": ""4K30"", ""mount"": ""RF卡口"", ""ibis"": ""无防抖"", ""weight"": ""375g"", ""screen"": ""翻折屏""}",入门;轻量;Vlog,,2026-08-05
sony-a7cii,索尼,Alpha 7C II (A7C2),,2023-08,88,74,False,15499,14699,"{""sensor"": ""全画幅"", ""resolution"": ""3300万"", ""video"": ""4K60"", ""mount"": ""E卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""514g"", ""screen"": ""3英寸翻转屏""}",全画幅;轻便;旅拍,,2026-08-05
sony-a7rv,索尼,Alpha 7R V (A7R5),,2022-10,82,48,False,25999,24999,"{""sensor"": ""全画幅"", ""resolution"": ""6100万"", ""video"": ""8K24"", ""mount"": ""E卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""723g"", ""screen"": ""3.2英寸四轴屏""}",高像素;风光;旗舰,,2026-08-05
sony-a6700,索尼,Alpha 6700 (A6700),,2023-07,84,70,False,10499,9899,"{""sensor"": ""APS-C"", ""resolution"": ""2600万"", ""video"": ""4K120"", ""mount"": ""E卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""493g"", ""screen"": ""3英寸翻转屏""}",APS-C;视频;AI对焦,,2026-08-05
sony-zv1m2,索尼,ZV-1 II,,2023-05,70,66,True,5299,4799,"{""sensor"": ""1英寸"", ""resolution"": ""2010万"", ""video"": ""4K30"", ""mount"": ""固定镜头"", ""ibis"": ""电子防抖"", ""weight"": ""292g"", ""screen"": ""3英寸翻转屏""}",Vlog;口袋机;广角,,2026-08-05
sony-a1,索尼,Alpha 1 (A1),,2021-01,76,30,False,42999,41599,"{""sensor"": ""全画幅"", ""resolution"": ""5010万"", ""video"": ""8K30"", ""mount"": ""E卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""737g"", ""screen"": ""3英寸翻转屏""}",旗舰;高速连拍;8K,,2026-08-05
canon-r5ii,佳能,EOS R5 Mark II,,2024-07,90,52,False,25999,25299,"{""sensor"": ""全画幅"", ""resolution"": ""4500万"", ""video"": ""8K60"", ""mount"": ""RF卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""656g"", ""screen"": ""3.2英寸翻转屏""}",旗舰;8K;高像素,,2026-08-05
canon-r8,佳能,EOS R8,,2023-02,78,72,False,9999,9399,"{""sensor"": ""全画幅"", ""resolution"": ""2420万"", ""video"": ""4K60"", ""mount"": ""RF卡口"", ""ibis"": ""无机身防抖"", ""weight"": ""461g"", ""screen"": ""3英寸翻转屏""}",全画幅;轻便;入门,,2026-08-05
canon-r7,佳能,EOS R7,,2022-05,74,68,True,8999,8299,"{""sensor"": ""APS-C"", ""resolution"": ""3250万"", ""video"": ""4K60"", ""mount"": ""RF卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""612g"", ""screen"": ""3英寸翻转屏""}",APS-C;打鸟;连拍,,2026-08-05
canon-r100,佳能,EOS R100,,2023-05,58,74,True,3499,3199,"{""sensor"": ""APS-C"", ""resolution"": ""2410万"", ""video"": ""4K24"", ""mount"": ""RF卡口"", ""ibis"": ""无机身防抖"", ""weight"": ""356g"", ""screen"": ""3英寸固定屏""}",入门;轻便;学生,,2026-08-05
nikon-z8,尼康,Z8,,2023-05,86,46,False,24999,23999,"{""sensor"": ""全画幅"", ""resolution"": ""4571万"", ""video"": ""8K60"", ""mount"": ""Z卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""910g"", ""screen"": ""3.2英寸翻转屏""}",旗舰;8K;无黑视,,2026-08-05
nikon-zf,尼康,Zf,,2023-09,80,58,False,14999,14299,"{""sensor"": ""全画幅"", ""resolution"": ""2450万"", ""video"": ""4K60"", ""mount"": ""Z卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""710g"", ""screen"": ""3.2英寸翻转屏""}",复古;全画幅;手感,,2026-08-05
nikon-z50ii,尼康,Z50 II,,2024-11,72,66,False,6799,6399,"{""sensor"": ""APS-C"", ""resolution"": ""2088万"", ""video"": ""4K60"", ""mount"": ""Z卡口"", ""ibis"": ""电子防抖"", ""weight"": ""550g"", ""screen"": ""3.2英寸翻转屏""}",入门;轻便;视频,,2026-08-05
fujifilm-xs20,富士,X-S20,,2023-05,82,76,False,9499,8999,"{""sensor"": ""APS-C"", ""resolution"": ""2610万"", ""video"": ""6K30"", ""mount"": ""X卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""491g"", ""screen"": ""3英寸翻转屏""}",胶片模拟;Vlog;防抖,,2026-08-05
fujifilm-xt50,富士,X-T50,,2024-05,80,68,False,10499,9899,"{""sensor"": ""APS-C"", ""resolution"": ""4020万"", ""video"": ""6K30"", ""mount"": ""X卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""438g"", ""screen"": ""3英寸翻转屏""}",胶片模拟;高像素;轻便,,2026-08-05
fujifilm-x100vi,富士,X100VI,,2024-02,94,40,False,13999,13999,"{""sensor"": ""APS-C"", ""resolution"": ""4020万"", ""video"": ""6K30"", ""mount"": ""固定镜头"", ""ibis"": ""五轴防抖"", ""weight"": ""521g"", ""screen"": ""3英寸翻转屏""}",旁轴;扫街;一机一镜,,2026-08-05
fujifilm-xh2s,富士,X-H2S,,2022-05,70,40,True,16999,15999,"{""sensor"": ""APS-C"", ""resolution"": ""2616万"", ""video"": ""6K30"", ""mount"": ""X卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""660g"", ""screen"": ""3英寸翻转屏""}",高速连拍;视频旗舰,,2026-08-05
panasonic-s5ii,松下,LUMIX S5 II,,2023-01,68,44,False,12999,12299,"{""sensor"": ""全画幅"", ""resolution"": ""2420万"", ""video"": ""6K30"", ""mount"": ""L卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""740g"", ""screen"": ""3英寸翻转屏""}",视频;相位对焦;无过热,,2026-08-05
panasonic-g9m2,松下,LUMIX G9 II,,2023-09,60,36,False,11499,10999,"{""sensor"": ""M4/3"", ""resolution"": ""2520万"", ""video"": ""5.8K30"", ""mount"": ""M4/3卡口"", ""ibis"": ""五轴防抖"", ""weight"": ""658g"", ""screen"": ""3英寸翻转屏""}",M43;连拍;生态,,2026-08-05
