id,brand,model,image,launchDate,popularity,sales,priceDrop,price_jd,price_pdd,specs,tags,officialUrl,lastVerified
ipad-pro-13-m4,苹果,iPad Pro 13 (M4),,2024-05,95,82,False,8999,8699,"{""size"": ""13英寸"", ""resolution"": ""2752x2064 OLED"", ""chip"": ""Apple M4"", ""ram"": ""8GB"", ""storage"": ""256GB"", ""battery"": ""约10小时"", ""weight"": ""579g"", ""refreshRate"": ""120Hz""}",M4;OLED;120Hz,,2026-08-05
ipad-air-11-m2,苹果,iPad Air 11 (M2),,2024-05,88,80,False,4799,4499,"{""size"": ""11英寸"", ""resolution"": ""2360x1640"", ""chip"": ""Apple M2"", ""ram"": ""8GB"", ""storage"": ""128GB"", ""battery"": ""约10小时"", ""weight"": ""462g"", ""refreshRate"": ""60Hz""}",M2;轻薄,,2026-08-05
huawei-matepad-pro-132,华为,MatePad Pro 13.2,,2023-09,82,70,True,5199,4699,"{""size"": ""13.2英寸"", ""resolution"": ""2880x1920 OLED"", ""chip"": ""麒麟9000WL"", ""ram"": ""12GB"", ""storage"": ""256GB"", ""battery"": ""约10小时"", ""weight"": ""580g"", ""refreshRate"": ""120Hz""}",鸿蒙;OLED;办公,,2026-08-05
xiaomi-pad-6s-pro-124,小米,平板6S Pro 12.4,,2024-02,80,76,False,2999,2799,"{""size"": ""12.4英寸"", ""resolution"": ""3048x2032"", ""chip"": ""骁龙8 Gen2"", ""ram"": ""8GB"", ""storage"": ""256GB"", ""battery"": ""10000mAh"", ""weight"": ""590g"", ""refreshRate"": ""144Hz""}",性价比;144Hz,,2026-08-05
samsung-tab-s9,三星,Galaxy Tab S9,,2023-07,72,58,True,4999,3999,"{""size"": ""11英寸"", ""resolution"": ""2560x1600 AMOLED"", ""chip"": ""骁龙8 Gen2"", ""ram"": ""8GB"", ""storage"": ""128GB"", ""battery"": ""8400mAh"", ""weight"": ""498g"", ""refreshRate"": ""120Hz""}",AMOLED;三星,,2026-08-05
honor-pad9-121,荣耀,平板9 12.1,,2023-12,64,60,False,1499,1399,"{""size"": ""12.1英寸"", ""resolution"": ""2560x1600"", ""chip"": ""骁龙6 Gen1"", ""ram"": ""8GB"", ""storage"": ""256GB"", ""battery"": ""8300mAh"", ""weight"": ""555g"", ""refreshRate"": ""120Hz""}",大屏;护眼,,2026-08-05
lenovo-xiaoxin-pad-pro-127,联想,小新 Pad Pro 12.7,,2024-01,60,54,False,1499,1399,"{""size"": ""12.7英寸"", ""resolution"": ""2944x1840"", ""chip"": ""天玑8300"", ""ram"": ""8GB"", ""storage"": ""128GB"", ""battery"": ""10200mAh"", ""weight"": ""615g"", ""refreshRate"": ""144Hz""}",大屏;性价比,,2026-08-05
ipad-pro-11-m4,苹果,iPad Pro 11 (M4),,2024-05,92,80,False,7999,7699,"{""size"": ""11英寸"", ""resolution"": ""2420x1668 OLED"", ""chip"": ""Apple M4"", ""ram"": ""8GB"", ""storage"": ""256GB"", ""battery"": ""约10小时"", ""weight"": ""444g"", ""refreshRate"": ""120Hz""}",M4;OLED;轻薄,,2026-08-05
ipad-air-13-m2,苹果,iPad Air 13 (M2),,2024-05,84,74,False,6799,6299,"{""size"": ""13英寸"", ""resolution"": ""2732x2048"", ""chip"": ""Apple M2"", ""ram"": ""8GB"", ""storage"": ""128GB"", ""battery"": ""约10小时"", ""weight"": ""617g"", ""refreshRate"": ""60Hz""}",M2;大屏,,2026-08-05
ipad-mini-7,苹果,iPad mini 7,,2024-10,80,72,False,3999,3799,"{""size"": ""8.3英寸"", ""resolution"": ""2266x1488"", ""chip"": ""A17 Pro"", ""ram"": ""8GB"", ""storage"": ""128GB"", ""battery"": ""约10小时"", ""weight"": ""293g"", ""refreshRate"": ""60Hz""}",小巧;单手持,,2026-08-05
